kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612025940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612029540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612033140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612036740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612040340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612043940000000000
kWh,domain=inverter,entity_id=daily_yeld value=0.00 1612047540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612047540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612051140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612054740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612058340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612061940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612065540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612069140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612072740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612076340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612079940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612083540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612087140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612090740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612094340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612097940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612101540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612105140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612108740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612112340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612115940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612119540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612123140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612126740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612130340000000000
kWh,domain=inverter,entity_id=daily_yeld value=1.55 1612133940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612133940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612137540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612141140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612144740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612148340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612151940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612155540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612159140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612162740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.00 1612166340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.19 1612169940000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.63 1612173540000000000
kWh,domain=inverter,entity_id=hourly_yeld value=1.33 1612177140000000000
kWh,domain=inverter,entity_id=hourly_yeld value=2.10 1612180740000000000
kWh,domain=inverter,entity_id=hourly_yeld value=1.21 1612184340000000000
kWh,domain=inverter,entity_id=hourly_yeld value=0.67 1612187940000000000
